Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59,,
français,animal,bras,cendre,écorce,lit,ventre,grand,oiseau,mordre,sang,os,sein,brûler (tr.),enfant,nuage,venir,compter,mourir,chien,boire,oreille,manger,œuf,éléphant,œil,visage,tomber,graisse,plume,ongle,feu,bois à brûler,poisson,cinq,voler,quatre,donner,chèvre,terre/sol,cheveu,tête,entendre,cœur,corne,maison,faim,intestin,tuer,genou,couteau,savoir,feuille,jambe,foie,pou,homme,lune,bouche,nom,nombril,cou,nuit ,nez,un,personne,pluie,chemin,racine,sel,sable,voir,envoyer,honte,chanter,peau,ciel,sommeil,fumée,serpent,lance,dérober,pierre,soleil,queue,dix,trois,langue,dent,arbre,deux,urine,village,vomir,marcher,guerre,eau,vent ,femme,rosée,fer,,
anglais,animal,arm,ashes,bark,bed,belly,big,bird,bite,blood,bone,breast,burn,child,cloud,come,count,die,dog,drink,ear,eat,egg,elephant,eye,face,fall,"fat, oil",feather,fingernail,fire,fire-wood,fish,five,fly,four,give,goat,"ground, soil",hair,head,hear ,heart,horn,house,hunger,intestine,kill,knee,knife,know,leaf,leg,liver,louse,man,moon,mouth,name,navel,neck,night,nose,one,person,rain,road,root,salt,sand,see ,send,shame,sing,skin,sky,sleep,smoke,snake,spear,steal,stone,sun,tail,ten,three,tongue,tooth,tree,two,urine,village,vomit,walk,war,water,wind,woman,dew,iron,,Sources
Fefe_Grassfields,nə̀ə,pō,vhʉ̄,kɔ̀p,kwɛ̄n,vàm,?,sāk,lōm,nsì˚ ,cwīi,pɛ̄n,tòo,mūu ~ mōo,ndùa,sàʔ,sāh,kʉ̄a,mvʉ̄a,nū,tɔ̄k,zā ? ,pòm,sʉ̄ʉ,zāh ~ zə̄k,sī,wùa,mvāt,fhʉ̀ ,ŋkɔ̀p˚,mɔ̄h ~ mūk,ncwī,mbàānši,tīì ~ tēè,?,kùx,hā,mvī,cāʔ,?,thū,ɥūʔ,ntām,ndɛ̄ˀ,ndʉ̄a,nžiɛ̀,ntǒ,žī,?,pǐɛ,žī,hù˚,khù,mbìɛ,?,?,ŋū,nšù,zɛ̄n,tɛ̀ʔ˚,ntɛ̄ʔ,thʉ̄ʔ,nzī,mɔ̀ʔ˚,wɛ̀n,mbàk,má-ǹ-ʒì,ŋɡàʔ,ŋɡwāˀ ,?,ɥīi ~ ɥēe,tōm,?,yɔ̀ɔ,ŋɡɔ̀p,?,lɔ̄h,?,nū,kwɛ̀ˀ,žʉ̀a,-lòk,nàm,ŋ̀kwɛ̀n ~ sāʔ,ɣǎm,tāa,lām,sɛ̀ˀ˚,thʉ̄,pʉá,nsìnsìi,lāʔ ~ ŋɡwɛ̀ʔ,?,nàk,ǹcò,nšì˚,fùfùa,(mʉ̀)nžwīɛ,mùʔ˚ ,tɛ̄nʌ̄,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Mungaka_Grassfields,ɲàm,bó,búˈmúˀ,ŋɡùptʉ́,kún,bòm,?,mʉ́ˈsə́ŋ,núm,ǹcíbàŋ,kə́n,bʉ́n,kʉ́ ,món,mùmbàʔ,tó,táŋ,kú,m̀vʉ́ʉ,nó,tóŋ,jʉ́,mbòm,swén,líˀ,sʉ́,vǔ,ŋɡwɛ́t,fè,ŋkìmì,múˀ,ŋ̀kwíŋ,ǹsú,ítàn,?,íkwà,fá  ,m̀bí,ǹcáʔ,ɲ̀ùŋ ,tú,ɥūʔ,ǹtʉ́m,ǹdɔ́ŋ,ndáp,njì,ǹtó,ɲɔ̌ʔ,?,mûní ~ múˀˈɲí,jǐ,fù,kù,m̀bì,?,mʉ̀mbàŋ,ŋú,ǹcù,lʉ́ŋ ~ lə́ŋ,tɔ̀ŋ,tɔ́ŋ,fʉ́ɲə̀m,ŋ̀kɔ̌ŋˈnjíˀ,mɔ̌ʔ,mùn,mbə̀ŋ,?,ŋɡàŋ,cí,?,yə́ə,tóm,,jɔ̌p ,ŋɡúp,mʉ̀mbàʔ,lí,?,ɲó,kòŋ,jə̀ə́,wúó,nùm,sáŋ,wɔ́m,ítét,lʉ́m,sɔ̀ŋ,tʉ́,íbâ,cèn,ŋɡɔ́ŋ,?,jǐt ,bɛ̀t,ncì,fʉ̀fʉ̀ɛt,mʌ̀ŋɡw̎í,mīnī ,tʉ́n,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Bamun_Grassfields,ɲàm,pú,vʉ́,ŋɡùp tɨ́tɨ́,kún,vàm,?,mʌ́síi,nɨ́mə́,nšì,ŋkɨ́ɨ,pɨ́n,tɔ̌n,mɔ́n,mbàaʔ,yàá,táá  ,kpɨ́,mʌ̀mvɨ́,núə́,tɨ́t,yɨ́,pùm,nsʉ́ən,lí,sɨ́,?,ŋɡwɛ́t,fʉ̀t˚ ,ŋkíebə́,muú,ŋkwé,nšá,ítèn,?,íkpà,fá  ,mʌ̀mbví,šá,ɲǜ,tú,ɥúʔ,ntɨ́m,nduú,ndáp,njìə,ntǔə,ŋɔ̀ˀɔ́,?,mʌ́ɲí,ɥí,yàʔáfù˚,kùt,mbiə̀,?,mʉ̀mbà,mɨ́ɨt ,nšùt,lí,tùu,lɔ̀ɔt,šʉ́ʔ,yí,mɔ̄ˀ,mɨ̀n,mbɨ̀ɨ,ma̍ɲʒə̍,ŋɡàa,̌ŋkíɛ́  ,?,ɥüə́nə́ ,?,,yǔɔb,ŋɡùp,pú:t,líə́,?,ŋúə́,kùu,ɥüə̌rə́,wūə́,ɲām ,ŋ̀kùn,ɣɔ́m,ítét ,lʉ́m,sū,tɨ́tɨ́,ípàá ,nšɛ̀ɛ́ ŋkiɛ̄,ŋɡùù,?,?,pìt,ŋkìɛ˚,fɨ̀fɨ̀ɛ̀t ,mʌ̃̀nɡbiə̌,mɨɨ̀ʔ,mbún,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Kom_Grassfields,ə̄ɲám,ə̄kwœ́,ābvʊ́ˋ,ɛ̀-gvu-ə̀wún,ə̄kɔínˊ,ə̄lvʊâ ,?,ə̄fə̄ɲýīn,lōm,ə̄mə̄lúŋˊ ,āvə́f,īɣɛ́nˋ,ɲɔ̀ʔ,ə̄waín,ə̄mbàʔsə̀,ɡwì,tāŋtə́,kfʊ̄,ə̄bʉ́ˋ,ɲṵ̄,ātúŋlə́ˋ,kfə̄l,íɣʷűˈḿ,âtàm,īsʉ́,īkə̂ʔ,fe᷄,ə̄mə̄və́l,īvə̂l,?,ə̄və́s,fə̀kāˋˀ ,ə̄ʃvʊ́,tāìn,taìn,kɛ̀,fū,ə̄ɓʉɨ́,ə̄nsē,ə̄ɲʉ́ŋ,ātʰúˋ,ʒvʊ̄,ātɛ́m,ə̄ndɔ̄ŋ,ə̄ndō,ə̄dʒɛ́ŋ̄,ə̄mə̄tú,ʒȳ,īlvʊ́,ə̄fə̄ɲỳ,?,īfʊ́,āvʊ́,àɣás,ə̄fənsɛ̂s,wúlùmnə̀,ə̄ndʒɔ̄ŋ,ə̄tʃvʊ̂,īɥínˊ,ītɔ́ŋ̄,ə́tɔ̋ˈŋ́,nə̄ntóʔó,āʒýˋ,mɔ̀,ə̄wúlˋ,īvʊ́ˊ,-dʒìì,īɣáŋ̄,ə̄fə̄nɡwáŋ,?,ɥɛ̄n,tōm,?,ʒɛ̄m,?,īʒvʊ́,?,ə̄fə̄lə́ʔˋ,ə̄mbām,īɣɔ́ŋ̄,tʃɔ̄ŋ,ə̄nɡɔ̀ʔ,ītʃvʊ́ īʒȳ,ənkɔìn,ìvə̄m,tál,īlɛ́mí,īsɔ́ŋ̄,ə̄fə̄kâʔ,bò,ə̄mə̄ndʒî,ə̄ntə̀ʔ,?,?,éɣɔ̋ˈŋ́ ,ə̄mú,āfʉɛ́fˋ,ə̄wí ,āmʉâʔ,ākás,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Oku_Grassfields,ɲàm,ēbkɔ̂i,kə̄ɓə̂l,?,ēbkón,ēblɛ̂: ,?,fə̄nʊ́n,lo᷆m,m̄dóŋ,kēvʊ́f,īɣɨ̂n,ɲɔ̀k,ɣɔ́n,mbàk,ɡwì,ta᷆ŋ,kwūɔ̀,buɔ̂,ɲə:,kētóōlé,kfəl,īɣúm̄,kètàm,īʃiɛ̂,īkɨ̂k,fɛ̄ì,m̄və́l,īvə̂l,?,ɛ̄βvə́s,m̀kāˋk,sə́:,tan,tàn,kwè,fɔ᷆,ɓʌî,ntīɛ̀,nʊ̂ŋ,kētô:,ɥūɔ̀ ,ītɪ́m,ndɔŋ,ndā:̀,dʒíŋ,ēbtɔ̂:,ɥūì,īlʌî,fèfìak,?,īfó:,kēv:ə́,ìbɛ̄ì,?,ɛ̀blómɛ̀n,ndʒɔ̄ŋ,ēbtʃuɔ̂,īɣɪ́l,ītɔ́ŋ,ɛ̄btɔ́ŋ̄,nthəɨ̄k,īɥuî,mɔ̀,wɪ̂l,īwú:,dʒí:,īɣáŋ,fə̄ŋɡwâŋ,kēsɛ́sɛí,ɥɛ᷆n,tom,?,ɥɪ᷆m,ɡwuɔ̂,ɡvūò,?,fēlîk,ɥuɔ̂,īɣɔ́ŋ,tʃɔ᷆ŋ,ŋɡɔ̀k,tʃuî,ēbkón,ìvʊm,tá:,kēlé:mê,īʃɔ́ŋ,fēkâk,bâ,ə̄mə̄ndʒʉ̂:nə̀,ntɛ̀k,?,?,?,m̄mɔ́:,ēbfiɛ̂f,ɛ̀wīì ,īŋwâk,kēkâs,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Aghem_Grassfields,ɲɔ̀m,kɨ́kwé,fə́ɲʌ́,?,ótʃʊɔ̂,únuâ,?,fɨ́nwɨ́n,ínúm,tɨ́kâŋ,kɨ́ɣɔ́ɔ,íɣé,íkpâ,wɛ́,mbàʔ,íbuɔ̂,ítáŋ,íkpú,bvʊ́,ímʊ́,kɨ́túŋˈɔ́,ípfʊ́,íɣúm,ɲɔɔ̀ dzɨ̀,ísɨ́,kẃaˀásə́,íbvʊ̂,ńvʊ́,ívʊɔ̂,?,ówɨ́n,ŋ́kâˀ,ítsɪ́ɣá,tɛ̀,ízɨ́ɣá,tʃiàkɔ̀,ífúó,dzɨ́,wé kɨ́ˈtsɨ́ ,ɲùŋ,kɨ́tú,ízú,fɨ̀ŋ,ndɔ́ŋ,ndúɣó,dzɨ̀ŋ,ínɨ́ɲà,íɥí,íɲɨ́,fə́ɲʌ́,ékúɔ́,ífúˈú,kɨ́wú,ítɔ́m,?,ywìnô,ndzɔ́ŋ,ídzúɣó,ízɨ́n,ítɔ́ŋ,wātɔ̄ŋ,âtsóʔ wɔ́,íɥí,mɔ̀ʔ,wù,íwú,dʒì,íɣáŋ,ńtsɔ̂ʔ,kɨ́ʃɛ́ʃɛ́,íkɔ̂ʔ,ítúm,?,ízɔ́m,?,kówálá,?,kɨ́ɲɔ́ʔ,zúɣó,íɣɔ́ŋ ,ítsɔ́ŋ,ŋɡòʔ,ízú,íkɔí,íˈɣɪ́m,tɨ́ɣá,kɨ́nɔ́m,ísɔ́ŋ,fɨ́kâʔ,bɨ̀ɣà,mù ndʒwì,ínáʔ,?,?,tsàm ,múú,ófɔ́ ,wí ,tɨ́mɔ́ʔɔ̀,kɨ́bvóʔ,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Njen_Grassfields,áɲɛ̀m ,àbókˋ,àdzə̂m,?,ìkúonˊ,ábə̀m,?,áɲʉ̀n˚,?,àlʉámˋ,àkʷínˊ,ìbʉ́nˋ,?,wɛ́n,mpàˀ,?,?,?,ábū,?,àtòŋə́,?,èbūom,šʉɔ̄n,ìɣʉ́ ˋ,ìsí ˋ,?,mə̀wútˊ,èɡü̑ri,m̀bɛ̄n ,èyǖt,èwínˊ,šú or sú ,tɛ̀ɛ́n,?,kʷɛ̂k,?,ɡǘ,sɛ̄k,ɲə̑m,àtúˋ,?,èntʉ̰̄,ǹdɔ̄ŋ,lʉ́ɔ,ǹjɛ̀k,?,?,fìnjòŋ˚,ámbɛ̄k,?,ìfúˀˋ,àwū,ìbɛ̂k,ŋkɔ̀t,mbɛ̂n,ìŋṵ́ ˋ,ìčû,èlə́n ˋ,átɔ̀ŋ̊,àtɔ́ŋˋ,nìnjə̌m,ìjí,kɔ́ɔ mɔ̄ˀ,wɔ̑t,m̀bə̀ŋ,?,ìɣāŋ,áŋɡʷāŋ,?,?,?,,?,ɡôp,ìɡút,?,ǹdīˀ,àɣɨ́àbɔ̀ŋ ,ìɣɔ̄ŋ,?,ìtɛ́kˊ,ɲə̂m,èku͞on,ɣə̄m,tát,èlʉ́ʉ̰ˊ,ìsɔ̄ŋ,àžǘtˊ,bi͞a,mèčîn,àbén ,?,?,ìbə́tˊ,mèlə́pˊ,?,wə̂wɛ̄k,?,àtʉ́nə́,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
Moghamo_Grassfields,ɲâm,ábó,ábúrí ,?,ábâʔ,fíbûm,?,fìnə̀nˊ,?,ánə́m ,áwú,íbə́n,?,ŋwánˋ,ìpàʔ,?,?,?,bók,?,àtɔ̀ŋɨ́͡i,?,íbɔ̄m,ísə́n,íɣɨ́ˋ,ìfě,?,múwút,íẅírì,íyî̧,íẅīt,íŋwɛ́n,šú,ítân,?,íkʷè,?,ˋɡẅí ˋ,?,ɲɔ̂ŋ,átók,?,fɨ̂ŋ,ǹdɔ́ŋ,nə́p,ìnjej̀ ,?,?,ínɥí ,fíbɛ́͡i,?,ìfúʔ,áwōk,ìbìɣì,ìtìt,m̀baŋə̀,ímə́k,ícôk,íkúm,fítɔ̄ŋ,ádɔ́ʔ,èkǘrǘ,íjẅé,ímɔ̀ˀ,wɨ̂t,ímbə̂ŋ,?,áɣāŋ ,fɨ̀ŋɡwáŋ,?,?,?,,?,ɡɔ̂p,àbɔ̀ŋɔ́,?,ìndīˀ,jó ,íwɔ̄ŋ ,?,ítɛ́͡i ,ɲùmɔ̀ ,íkɔ̄n ,ìwūm,ítát,ínɛ́mí ,íšɔ̄ŋ ,ážɛ́t ,íbe̍,?,ábɛ́n ,?,?,íbít ,mɨ́níp,áfím ou àfùtù,āyí ,ámə̂ˀ,átɨ̧́ ,,"Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Larry Hyman,  University of California at Berkeley"
